,SMD,official 2010 population,block-approx 2010 population,block-approx 2020 population,block-approx miscount (2010),block-approx change
0,1A01,1971,1971,1924,0,-2.38%
1,1A02,1974,1974,2632,0,33.33%
2,1A03,2008,2008,2256,0,12.35%
3,1A04,1908,1908,2000,0,4.82%
4,1A05,1972,1972,2131,0,8.06%
5,1A06,1934,1934,2145,0,10.91%
6,1A07,1961,1971,2317,10,17.55%
7,1A08,2008,2008,2304,0,14.74%
8,1A09,1955,1955,2479,0,26.80%
9,1A10,2074,2089,2276,15,8.95%
10,1A11,1984,2007,2007,23,0.00%
11,1A12,1984,1785,1836,-199,2.86%
12,1B01,1921,1921,2227,0,15.93%
13,1B02,2009,2009,2716,0,35.19%
14,1B03,2038,2038,1843,0,-9.57%
15,1B04,1909,1909,2545,0,33.32%
16,1B05,1990,1990,2406,0,20.90%
17,1B06,1976,1976,2032,0,2.83%
18,1B07,1962,2161,1737,199,-19.62%
19,1B08,1969,1969,2268,0,15.19%
20,1B09,1957,1957,2257,0,15.33%
21,1B10,1944,1944,2155,0,10.85%
22,1B11,2072,2072,3797,0,83.25%
23,1B12,2088,2088,3106,0,48.75%
24,1C01,2066,2114,2478,48,17.22%
25,1C02,2107,2103,2344,-4,11.46%
26,1C03,2057,2019,2047,-38,1.39%
27,1C04,2042,2042,1868,0,-8.52%
28,1C05,2020,2020,2192,0,8.51%
29,1C06,2108,2108,2764,0,31.12%
30,1C07,2064,2064,2707,0,31.15%
31,1C08,1971,1971,2057,0,4.36%
32,1D01,2020,2020,2195,0,8.66%
33,1D02,2182,2182,2157,0,-1.15%
34,1D03,2072,2023,2296,-49,13.49%
35,1D04,2100,2100,2504,0,19.24%
36,1D05,2085,2134,2280,49,6.84%
37,2A01,2383,2383,2175,0,-8.73%
38,2A02,2126,2080,2659,-46,27.84%
39,2A03,2155,2387,2485,232,4.11%
40,2A04,2138,2046,2058,-92,0.59%
41,2A05,2350,2339,2455,-11,4.96%
42,2A06,1914,1913,2195,-1,14.74%
43,2A07,1963,1846,2288,-117,23.94%
44,2A08,2186,2186,2454,0,12.26%
45,2B01,1902,1894,1940,-8,2.43%
46,2B02,2149,2149,1902,0,-11.49%
47,2B03,1974,1974,2000,0,1.32%
48,2B04,2079,2079,2206,0,6.11%
49,2B05,1942,2047,2709,105,32.34%
50,2B06,2015,2062,2612,47,26.67%
51,2B07,2083,2083,2484,0,19.25%
52,2B08,1979,1985,2087,6,5.14%
53,2B09,1992,1995,2596,3,30.13%
54,2C01,1628,1628,2690,0,65.23%
55,2C02,1920,1920,1964,0,2.29%
56,2C03,1933,1933,1960,0,1.40%
57,2D01,1304,1304,1444,0,10.74%
58,2D02,1404,1404,1392,0,-0.85%
59,2E01,2264,2409,2207,145,-8.39%
60,2E02,1917,1470,1529,-447,4.01%
61,2E03,2010,2010,1817,0,-9.60%
62,2E04,2112,3888,1031,1776,-73.48%
63,2E05,2045,1528,1463,-517,-4.25%
64,2E06,1836,1836,1699,0,-7.46%
65,2E07,2061,2061,2015,0,-2.23%
66,2E08,2221,1275,3915,-946,207.06%
67,2F01,2029,2029,2068,0,1.92%
68,2F02,2111,2113,2164,2,2.41%
69,2F03,2494,2513,2709,19,7.80%
70,2F04,1981,1960,2093,-21,6.79%
71,2F05,1822,1717,1869,-105,8.85%
72,2F06,1947,2185,2510,238,14.87%
73,2F07,2067,2067,2151,0,4.06%
74,2F08,2209,2209,1909,0,-13.58%
75,3B01,2120,2120,2165,0,2.12%
76,3B02,2061,2061,2325,0,12.81%
77,3B03,2043,1927,2034,-116,5.55%
78,3B04,2123,2573,2866,450,11.39%
79,3B05,2052,2168,2273,116,4.84%
80,3C01,2005,2005,2261,0,12.77%
81,3C02,2039,2039,2535,0,24.33%
82,3C03,2011,2011,2160,0,7.41%
83,3C04,2098,3371,2559,1273,-24.09%
84,3C05,2089,2107,2238,18,6.22%
85,3C06,1940,1940,2205,0,13.66%
86,3C07,2075,1874,1930,-201,2.99%
87,3C08,1930,1930,2023,0,4.82%
88,3C09,1955,1940,2163,-15,11.49%
89,3D01,2010,1816,2115,-194,16.46%
90,3D02,1997,981,1282,-1016,30.68%
91,3D03,1897,1897,2055,0,8.33%
92,3D04,1984,1984,1952,0,-1.61%
93,3D05,1921,1921,2035,0,5.93%
94,3D06,1912,1940,2316,28,19.38%
95,3D07,2153,3282,3579,1129,9.05%
96,3D08,2121,2244,2309,123,2.90%
97,3D09,2028,2043,2357,15,15.37%
98,3D10,1964,1255,1377,-709,9.72%
99,3E01,2063,2063,2560,0,24.09%
100,3E02,2048,2048,2178,0,6.35%
101,3E03,2088,2088,2260,0,8.24%
102,3E04,2068,2058,2273,-10,10.45%
103,3E05,2011,2186,1676,175,-23.33%
104,3F01,1959,2020,1829,61,-9.46%
105,3F02,2006,2196,2638,190,20.13%
106,3F03,2038,2038,2171,0,6.53%
107,3F04,1917,1727,1790,-190,3.65%
108,3F05,1936,1936,2071,0,6.97%
109,3F06,1952,1952,2061,0,5.58%
110,3F07,2031,894,1848,-1137,106.71%
111,3G01,2031,2031,2477,0,21.96%
112,3G02,2085,2085,1797,0,-13.81%
113,3G03,2024,2024,2137,0,5.58%
114,3G04,2075,2075,2212,0,6.60%
115,3G05,1995,1994,2091,-1,4.86%
116,3G06,1977,1988,2374,11,19.42%
117,3G07,2018,2018,2098,0,3.96%
118,4A01,1744,1744,1957,0,12.21%
119,4A02,1959,1959,2219,0,13.27%
120,4A03,2305,2305,2309,0,0.17%
121,4A04,2097,2097,2484,0,18.45%
122,4A05,2146,2146,2808,0,30.85%
123,4A06,2123,2123,2620,0,23.41%
124,4A07,2113,2113,2522,0,19.36%
125,4A08,2166,2166,2592,0,19.67%
126,4B01,2114,2114,2886,0,36.52%
127,4B02,2108,2108,2190,0,3.89%
128,4B03,2084,2084,2192,0,5.18%
129,4B04,2131,2131,2254,0,5.77%
130,4B05,1905,1905,2048,0,7.51%
131,4B06,2139,2140,2321,1,8.46%
132,4B07,2010,2010,2974,0,47.96%
133,4B08,2026,2026,2535,0,25.12%
134,4B09,2002,2002,2457,0,22.73%
135,4C01,1936,2049,2050,113,0.05%
136,4C02,2050,1937,2278,-113,17.60%
137,4C03,2003,1898,1937,-105,2.05%
138,4C04,2176,2176,1798,0,-17.37%
139,4C05,1765,1870,2100,105,12.30%
140,4C06,2169,2169,2719,0,25.36%
141,4C07,2006,2014,2372,8,17.78%
142,4C08,1966,1966,2201,0,11.95%
143,4C09,1937,1936,1999,-1,3.25%
144,4C10,2016,2016,2265,0,12.35%
145,4D01,2083,2083,2408,0,15.60%
146,4D02,2164,2163,2245,-1,3.79%
147,4D03,2173,2151,2205,-22,2.51%
148,4D04,2220,2220,2200,0,-0.90%
149,4D05,2069,2062,2197,-7,6.55%
150,4D06,1905,1905,1964,0,3.10%
151,5A01,2139,2143,2389,4,11.48%
152,5A02,2008,2004,1950,-4,-2.69%
153,5A03,2133,2133,2159,0,1.22%
