Ward-qualified SMD,block-approx 2020 population
1/1A01,1924
1/1A02,2632
1/1A03,2256
1/1A04,2000
1/1A05,2131
1/1A06,2145
1/1A07,2317
1/1A08,2304
1/1A09,2479
1/1A10,2276
1/1A11,2007
1/1A12,1836
1/1B01,2227
1/1B02,2716
1/1B03,1843
1/1B04,2545
1/1B05,2406
1/1B06,2032
1/1B07,1737
1/1B08,2268
1/1B09,2257
1/1B10,2155
1/1B11,3797
1/1B12,3106
1/1C01,2478
1/1C02,2344
1/1C03,2047
1/1C04,1868
1/1C05,2192
1/1C06,2764
1/1C07,2707
1/1C08,2057
1/1D01,2195
1/1D02,2157
1/1D03,2296
1/1D04,2504
1/1D05,2280
2/2A01,2175
2/2A02,2659
2/2A03,2485
2/2A04,2058
2/2A05,2455
2/2A06,2195
2/2A07,2288
2/2A08,2454
2/2B01,1940
2/2B02,1902
2/2B03,2000
2/2B04,2206
2/2B05,2709
2/2B06,2612
2/2B07,2484
2/2B08,2087
2/2B09,2596
2/2C01,2690
2/2C03,1655
2/2D01,1444
2/2D02,1392
2/2E01,2207
2/2E02,1529
2/2E03,1817
2/2E04,1031
2/2E05,1463
2/2E06,1699
2/2E07,2015
2/2E08,3915
2/2F01,2068
2/2F02,2164
2/2F03,2709
2/2F04,2093
2/2F05,1869
2/2F06,2510
2/2F07,2151
2/2F08,1909
2/6E01,3225
2/6E02,2327
2/6E03,1840
2/6E04,2458
3/3B01,2165
3/3B02,2325
3/3B03,2034
3/3B04,2866
3/3B05,2273
3/3C01,2261
3/3C02,2535
3/3C03,2160
3/3C04,2559
3/3C05,2238
3/3C06,2205
3/3C07,1930
3/3C08,2023
3/3C09,2163
3/3D01,2115
3/3D02,1282
3/3D03,2055
3/3D04,1952
3/3D05,2035
3/3D06,2316
3/3D07,3579
3/3D08,2309
3/3D09,2357
3/3D10,1377
3/3E01,2560
3/3E02,2178
3/3E03,2260
3/3E04,2273
3/3E05,1676
3/3F01,1829
3/3F02,2638
3/3F03,2171
3/3F04,1790
3/3F05,2071
3/3F06,2061
3/3F07,1848
3/3G03,269
3/3G05,2091
3/3G06,2374
3/3G07,2098
4/3G01,2477
4/3G02,1797
4/3G03,1868
4/3G04,2212
4/4A01,1957
4/4A02,2219
4/4A03,2309
4/4A04,2484
4/4A05,2808
4/4A06,2620
4/4A07,2522
4/4A08,2592
4/4B01,2886
4/4B02,2190
4/4B03,2192
4/4B04,2254
4/4B05,2048
4/4B06,2321
4/4B07,2974
4/4B08,2535
4/4B09,2457
4/4C01,2050
4/4C02,2278
4/4C03,1937
4/4C04,1798
4/4C05,2100
4/4C06,2719
4/4C07,2372
4/4C08,2201
4/4C09,1999
4/4C10,2265
4/4D01,2408
4/4D02,2245
4/4D03,2205
4/4D04,2200
4/4D05,2197
4/4D06,1964
5/5A01,2389
5/5A02,1950
5/5A03,2159
5/5A04,1919
5/5A05,1710
5/5A06,2867
5/5A07,2338
5/5A08,2849
5/5B01,2291
5/5B02,2215
5/5B03,2368
5/5B04,2654
5/5B05,2196
5/5C01,1988
5/5C02,1880
5/5C03,3747
5/5C04,3093
5/5C05,2553
5/5C06,1911
5/5C07,2194
5/5D01,4036
5/5D02,2107
5/5D03,2416
5/5D04,1852
5/5D05,1931
5/5D06,2460
5/5D07,2210
5/5E01,3103
5/5E02,2362
5/5E03,4081
5/5E04,2382
5/5E05,2367
5/5E06,2118
5/5E07,1959
5/5E08,2558
5/5E09,1974
5/5E10,2238
5/6E04,192
6/2C02,1964
6/2C03,305
6/6A01,2331
6/6A02,1961
6/6A03,2276
6/6A04,2185
6/6A05,2305
6/6A06,1910
6/6B01,2026
6/6B02,2335
6/6B03,2344
6/6B04,1895
6/6B05,2142
6/6B06,2498
6/6B07,2151
6/6B08,2027
6/6B09,760
6/6C01,1818
6/6C02,1470
6/6C03,2488
6/6C04,3004
6/6C05,3505
6/6C06,8606
6/6D01,3935
6/6D02,3128
6/6D03,2254
6/6D04,3316
6/6D05,3019
6/6D06,2465
6/6D07,2633
6/6E05,5013
6/6E06,1310
6/6E07,2887
7/6A06,490
7/6A07,2480
7/6A08,2359
7/6B08,176
7/6B09,1687
7/6B10,2238
7/7B01,2268
7/7B02,2259
7/7B03,2159
7/7B04,2083
7/7B05,2125
7/7B06,2060
7/7B07,2196
7/7C01,2769
7/7C02,1787
7/7C03,1652
7/7C04,2022
7/7C05,2293
7/7C06,1948
7/7C07,2216
7/7D01,1865
7/7D02,1238
7/7D03,2437
7/7D04,1996
7/7D05,2806
7/7D06,2185
7/7D07,4059
7/7E01,2036
7/7E02,2024
7/7E03,1893
7/7E04,2636
7/7E05,2205
7/7E06,2042
7/7E07,2004
7/7F01,2730
7/7F02,2284
7/7F03,1747
7/7F04,1393
7/7F05,2009
7/7F06,2443
7/7F07,2386
8/6B04,122
8/6D02,1453
8/6D07,5158
8/8A01,2128
8/8A02,2386
8/8A03,2261
8/8A04,906
8/8A05,1850
8/8A06,2888
8/8A07,2727
8/8B01,3360
8/8B02,1809
8/8B03,1651
8/8B04,2139
8/8B05,2889
8/8B06,1993
8/8B07,1852
8/8C01,1902
8/8C02,1834
8/8C03,2961
8/8C04,2397
8/8C05,1826
8/8C06,1626
8/8C07,2234
8/8D01,2091
8/8D02,2229
8/8D03,1960
8/8D04,2742
8/8D05,1730
8/8D06,2141
8/8D07,3430
8/8E01,2472
8/8E02,1967
8/8E03,2076
8/8E04,2557
8/8E05,2584
8/8E06,2537
8/8E07,2378
