SMD_ID,population2010,population2020,change
1A01,1971,1924,-2.38%
1A02,1974,2632,33.33%
1A03,2008,2256,12.35%
1A04,1908,2000,4.82%
1A05,1972,2131,8.06%
1A06,1934,2145,10.91%
1A07,1971,2317,17.55%
1A08,2008,2304,14.74%
1A09,1955,2479,26.80%
1A10,2089,2276,8.95%
1A11,2007,2007,0.00%
1A12,1785,1836,2.86%
1B01,1921,2227,15.93%
1B02,2009,2716,35.19%
1B03,2038,1843,-9.57%
1B04,1909,2545,33.32%
1B05,1990,2406,20.90%
1B06,1976,2032,2.83%
1B07,2161,1737,-19.62%
1B08,1969,2268,15.19%
1B09,1957,2257,15.33%
1B10,1944,2155,10.85%
1B11,2072,3797,83.25%
1B12,2088,3106,48.75%
1C01,2114,2478,17.22%
1C02,2103,2344,11.46%
1C03,2019,2047,1.39%
1C04,2042,1868,-8.52%
1C05,2020,2192,8.51%
1C06,2108,2764,31.12%
1C07,2064,2707,31.15%
1C08,1971,2057,4.36%
1D01,2020,2195,8.66%
1D02,2182,2157,-1.15%
1D03,2023,2296,13.49%
1D04,2100,2504,19.24%
1D05,2134,2280,6.84%
2A01,2383,2175,-8.73%
2A02,2080,2659,27.84%
2A03,2387,2485,4.11%
2A04,2046,2058,0.59%
2A05,2339,2455,4.96%
2A06,1913,2195,14.74%
2A07,1846,2288,23.94%
2A08,2186,2454,12.26%
2B01,1894,1940,2.43%
2B02,2149,1902,-11.49%
2B03,1974,2000,1.32%
2B04,2079,2206,6.11%
2B05,2047,2709,32.34%
2B06,2062,2612,26.67%
2B07,2083,2484,19.25%
2B08,1985,2087,5.14%
2B09,1995,2596,30.13%
2C01,1628,2690,65.23%
2C02,1920,1964,2.29%
2C03,1933,1960,1.40%
2D01,1304,1444,10.74%
2D02,1404,1392,-0.85%
2E01,2409,2207,-8.39%
2E02,1470,1529,4.01%
2E03,2010,1817,-9.60%
2E04,3888,1031,-73.48%
2E05,1528,1463,-4.25%
2E06,1836,1699,-7.46%
2E07,2061,2015,-2.23%
2E08,1275,3915,207.06%
2F01,2029,2068,1.92%
2F02,2113,2164,2.41%
2F03,2513,2709,7.80%
2F04,1960,2093,6.79%
2F05,1717,1869,8.85%
2F06,2185,2510,14.87%
2F07,2067,2151,4.06%
2F08,2209,1909,-13.58%
3B01,2120,2165,2.12%
3B02,2061,2325,12.81%
3B03,1927,2034,5.55%
3B04,2573,2866,11.39%
3B05,2168,2273,4.84%
3C01,2005,2261,12.77%
3C02,2039,2535,24.33%
3C03,2011,2160,7.41%
3C04,3371,2559,-24.09%
3C05,2107,2238,6.22%
3C06,1940,2205,13.66%
3C07,1874,1930,2.99%
3C08,1930,2023,4.82%
3C09,1940,2163,11.49%
3D01,1816,2115,16.46%
3D02,981,1282,30.68%
3D03,1897,2055,8.33%
3D04,1984,1952,-1.61%
3D05,1921,2035,5.93%
3D06,1940,2316,19.38%
3D07,3282,3579,9.05%
3D08,2244,2309,2.90%
3D09,2043,2357,15.37%
3D10,1255,1377,9.72%
3E01,2063,2560,24.09%
3E02,2048,2178,6.35%
3E03,2088,2260,8.24%
3E04,2058,2273,10.45%
3E05,2186,1676,-23.33%
3F01,2020,1829,-9.46%
3F02,2196,2638,20.13%
3F03,2038,2171,6.53%
3F04,1727,1790,3.65%
3F05,1936,2071,6.97%
3F06,1952,2061,5.58%
3F07,894,1848,106.71%
3G01,2031,2477,21.96%
3G02,2085,1797,-13.81%
3G03,2024,2137,5.58%
3G04,2075,2212,6.60%
